sex_label,Total_Pacientes,Casos_Ansiedad_GAD,Casos_TDAH_Cualquiera,Pct_Ansiedad,Pct_TDAH
Femenino,77,3,19,3.896103896103896,24.675324675324674
Masculino,444,7,96,1.5765765765765765,21.62162162162162
